city_key,city_name,province,raw_city_variants,province_variants,city_level,workbook_count,coverage_status,workbooks_missing,has_zero_width_chars,admin_status,needs_manual_review,review_reason,notes
cn_city_18026d37,上海,上海,上海,上海;中国,直辖市,7,complete,,no,normal,no,,
cn_city_d6c2713d,临沧,云南,临沧;临沧市,中国;云南,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_87cbb7e5,丽江,云南,丽江;丽江市,中国;云南,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_230ee29b,保山,云南,保山;保山市,中国;云南,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_0c0f4817,昆明,云南,昆明;昆明市,中国;云南,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_d3396422,昭通,云南,昭通;昭通市,中国;云南,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_61ad2e84,普洱,云南,普洱;普洱市,中国;云南,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_8282e4a8,曲靖,云南,曲靖;曲靖市,中国;云南,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_4a746076,玉溪,云南,玉溪;玉溪市,中国;云南,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_15dab5d7,乌兰察布,内蒙古,乌兰察布;乌兰察布市,中国;内蒙古,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_6f515078,乌海,内蒙古,乌海;乌海市,中国;内蒙古,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_cd63eba5,包头,内蒙古,包头;包头市,中国;内蒙古,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_93a01f1a,呼伦贝尔,内蒙古,呼伦贝尔;呼伦贝尔市,中国;内蒙古,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_f5ac800c,呼和浩特,内蒙古,呼和浩特;呼和浩特市,中国;内蒙古,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_228c4cb1,巴彦淖尔,内蒙古,巴彦淖尔;巴彦淖尔市,中国;内蒙古,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_916e7829,赤峰,内蒙古,赤峰;赤峰市,中国;内蒙古,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_d3a5fe1f,通辽,内蒙古,通辽;通辽市,中国;内蒙古,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_1b5d5f85,鄂尔多斯,内蒙古,鄂尔多斯;鄂尔多斯市,中国;内蒙古,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_f3d7bea6,北京,北京,北京,中国;北京,直辖市,7,complete,,no,normal,no,,
cn_city_6dd5e1e7,吉林,吉林,吉林;吉林市,中国;吉林,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_dc77cc69,四平,吉林,四平;四平市,中国;吉林,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_bdc0a8f6,松原,吉林,松原;松原市,中国;吉林,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_7847082f,白城,吉林,白城;白城市,中国;吉林,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_d4194d9b,白山,吉林,白山;白山市,中国;吉林,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_8350d559,辽源,吉林,辽源;辽源市,中国;吉林,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_62a3000c,通化,吉林,通化;通化市,中国;吉林,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_bed05747,长春,吉林,长春;长春市,中国;吉林,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_12def1a2,乐山,四川,乐山;乐山市,中国;四川,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_73543ac2,内江,四川,内江;内江市,中国;四川,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_d43086c2,南充,四川,南充;南充市,中国;四川,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_dd9eae2a,宜宾,四川,宜宾;宜宾市,中国;四川,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_0790aa99,巴中,四川,巴中;巴中市,中国;四川,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_c380b435,广元,四川,广元;广元市,中国;四川,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_0996b803,广安,四川,广安;广安市,中国;四川,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_6a4925f7,德阳,四川,德阳;德阳市,中国;四川,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_d5d37f5f,成都,四川,成都;成都市,中国;四川,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_a56dd4ce,攀枝花,四川,攀枝花;攀枝花市,中国;四川,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_1fdeb6e9,泸州,四川,泸州;泸州市,中国;四川,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_1ad95d43,眉山,四川,眉山;眉山市,中国;四川,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_b464f477,绵阳,四川,绵阳;绵阳市,中国;四川,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_1e381329,自贡,四川,自贡;自贡市,中国;四川,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_625158c5,资阳,四川,资阳;资阳市,中国;四川,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_c47a1edd,达州,四川,达州;达州市,中国;四川,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_1a02c167,遂宁,四川,遂宁;遂宁市,中国;四川,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_e7c52f75,雅安,四川,雅安;雅安市,中国;四川,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_6ab6de26,天津,天津,天津,中国;天津,直辖市,7,complete,,no,normal,no,,
cn_city_7bd4f967,中卫,宁夏,中卫;中卫市,中国;宁夏,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_a874405b,吴忠,宁夏,吴忠;吴忠市,中国;宁夏,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
