normalized_city,raw_city_variants,province_variants,workbook_count,workbooks_present,workbooks_missing,has_zero_width_chars,notes
七台河,七台河;七台河市,中国;黑龙江,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
三亚,三亚;三亚市,中国;海南,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
三明,三明;三明市,中国;福建,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
三门峡,三门峡;三门峡市,中国;河南,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
上海,上海,上海;中国,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,
上饶,上饶;上饶市,中国;江西,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
东莞,东莞;东莞市,中国;广东,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
东营,东营;东营市,中国;山东,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
中卫,中卫;中卫市,中国;宁夏,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
中山,中山;中山市,中国;广东,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
临汾,临汾;临汾市,中国;山西,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
临沂,临沂;临沂市,中国;山东,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
