metric_name,inferred_variable_id,unit,city_tier_v1,tier_rank,tier_confidence,year_start,year_end,year_count,city_count,record_count,observed_count,missing_count,missing_rate,manual_review_city_count,manual_review_cities,special_city_count,special_city_types,coverage_grade,coverage_notes
住宅开发投资额,VAR_CONSTRUCTION,百万人民币,一线,1,high,2000,2024,25,4,100,98,2,0.0200,0,,0,,good,存在缺失值
住宅销售面积,VAR_VOLUME_TRANSACTION,千平方米,一线,1,high,2005,2024,20,4,80,79,1,0.0125,0,,0,,good,存在缺失值
住宅销售额,VAR_VOLUME_TRANSACTION,百万人民币,一线,1,high,2005,2024,20,4,80,78,2,0.0250,0,,0,,usable_with_caution,存在缺失值
商品房销售面积,VAR_VOLUME_TRANSACTION,千平方米,一线,1,high,2002,2024,23,4,92,91,1,0.0109,0,,0,,good,存在缺失值
商品房销售额,VAR_VOLUME_TRANSACTION,百万人民币,一线,1,high,2002,2024,23,4,92,90,2,0.0217,0,,0,,usable_with_caution,存在缺失值
地级市房价,VAR_PRICE_NEW,元/平方米,一线,1,high,2000,2022,23,4,92,91,1,0.0109,0,,0,,good,存在缺失值
房地产开发投资额,VAR_CONSTRUCTION,百万人民币,一线,1,high,2000,2024,25,4,100,99,1,0.0100,0,,0,,good,存在缺失值
住宅开发投资额,VAR_CONSTRUCTION,百万人民币,新一线与强二线,2,medium,2000,2024,25,15,375,364,11,0.0293,0,,0,,usable_with_caution,存在缺失值
住宅销售面积,VAR_VOLUME_TRANSACTION,千平方米,新一线与强二线,2,medium,2005,2024,20,15,300,290,10,0.0333,0,,0,,usable_with_caution,存在缺失值
住宅销售额,VAR_VOLUME_TRANSACTION,百万人民币,新一线与强二线,2,medium,2005,2024,20,15,300,287,13,0.0433,0,,0,,usable_with_caution,存在缺失值
商品房销售面积,VAR_VOLUME_TRANSACTION,千平方米,新一线与强二线,2,medium,2002,2024,23,15,345,338,7,0.0203,0,,0,,usable_with_caution,存在缺失值
商品房销售额,VAR_VOLUME_TRANSACTION,百万人民币,新一线与强二线,2,medium,2002,2024,23,15,345,332,13,0.0377,0,,0,,usable_with_caution,存在缺失值
地级市房价,VAR_PRICE_NEW,元/平方米,新一线与强二线,2,medium,2000,2022,23,15,345,345,0,0.0000,0,,0,,good,
房地产开发投资额,VAR_CONSTRUCTION,百万人民币,新一线与强二线,2,medium,2000,2024,25,15,375,367,8,0.0213,0,,0,,usable_with_caution,存在缺失值
住宅开发投资额,VAR_CONSTRUCTION,百万人民币,普通二线,3,low,2000,2024,25,52,1300,1205,95,0.0731,0,,0,,usable_with_caution,存在缺失值
住宅销售面积,VAR_VOLUME_TRANSACTION,千平方米,普通二线,3,low,2005,2024,20,52,1040,992,48,0.0462,0,,0,,usable_with_caution,存在缺失值
住宅销售额,VAR_VOLUME_TRANSACTION,百万人民币,普通二线,3,low,2005,2024,20,52,1040,954,86,0.0827,0,,0,,usable_with_caution,存在缺失值
商品房销售面积,VAR_VOLUME_TRANSACTION,千平方米,普通二线,3,low,2002,2024,23,52,1196,1166,30,0.0251,0,,0,,usable_with_caution,存在缺失值
