dataset_id,source_registry_id,dataset_name,relative_path,file_name,extension,role,size_bytes,size_mb,git_policy,notes
china-city-database-v202603-2000-2024,SRC_CN_PURCHASED_CITY_DB,中国城市数据库 v202603 版 2000-2024,data/raw/purchased/china-city-database-v202603-2000-2024/DATA_SOURCE.md,DATA_SOURCE.md,.md,source_note,883,0.001,tracked_metadata,唯一应提交的购买数据目录说明文件
china-city-database-v202603-2000-2024,SRC_CN_PURCHASED_CITY_DB,中国城市数据库 v202603 版 2000-2024,data/raw/purchased/china-city-database-v202603-2000-2024/中国城市数据库v202603版（2000-2024年）.xlsx,中国城市数据库v202603版（2000-2024年）.xlsx,.xlsx,spreadsheet_data,18232467,17.388,ignored_raw_asset,原始购买数据或配套材料，不提交到 Git
china-city-database-v202603-2000-2024,SRC_CN_PURCHASED_CITY_DB,中国城市数据库 v202603 版 2000-2024,data/raw/purchased/china-city-database-v202603-2000-2024/马克数据汇总（2026年1月31日更新）.pdf,马克数据汇总（2026年1月31日更新）.pdf,.pdf,documentation,854853,0.815,ignored_raw_asset,原始购买数据或配套材料，不提交到 Git
china-city-database-v202603-2000-2024,SRC_CN_PURCHASED_CITY_DB,中国城市数据库 v202603 版 2000-2024,data/raw/purchased/china-city-database-v202603-2000-2024/马克数据网-搜一搜与二维码.png,马克数据网-搜一搜与二维码.png,.png,image,4268298,4.071,ignored_raw_asset,原始购买数据或配套材料，不提交到 Git
china-real-estate-statistical-yearbook-1999-2025,SRC_CN_PURCHASED_RE_YEARBOOK,中国房地产统计年鉴 1999-2025,data/raw/purchased/china-real-estate-statistical-yearbook-1999-2025/DATA_SOURCE.md,DATA_SOURCE.md,.md,source_note,821,0.001,tracked_metadata,唯一应提交的购买数据目录说明文件
china-real-estate-statistical-yearbook-1999-2025,SRC_CN_PURCHASED_RE_YEARBOOK,中国房地产统计年鉴 1999-2025,data/raw/purchased/china-real-estate-statistical-yearbook-1999-2025/EXCEL/中国房地产统计年鉴1999（excel）.zip,中国房地产统计年鉴1999（excel）.zip,.zip,archive,7287900,6.950,ignored_raw_asset,原始购买数据或配套材料，不提交到 Git
china-real-estate-statistical-yearbook-1999-2025,SRC_CN_PURCHASED_RE_YEARBOOK,中国房地产统计年鉴 1999-2025,data/raw/purchased/china-real-estate-statistical-yearbook-1999-2025/EXCEL/中国房地产统计年鉴2000（excel）.zip,中国房地产统计年鉴2000（excel）.zip,.zip,archive,6503303,6.202,ignored_raw_asset,原始购买数据或配套材料，不提交到 Git
china-real-estate-statistical-yearbook-1999-2025,SRC_CN_PURCHASED_RE_YEARBOOK,中国房地产统计年鉴 1999-2025,data/raw/purchased/china-real-estate-statistical-yearbook-1999-2025/EXCEL/中国房地产统计年鉴2001（excel）.zip,中国房地产统计年鉴2001（excel）.zip,.zip,archive,4982787,4.752,ignored_raw_asset,原始购买数据或配套材料，不提交到 Git
china-real-estate-statistical-yearbook-1999-2025,SRC_CN_PURCHASED_RE_YEARBOOK,中国房地产统计年鉴 1999-2025,data/raw/purchased/china-real-estate-statistical-yearbook-1999-2025/EXCEL/中国房地产统计年鉴2002（excel）.zip,中国房地产统计年鉴2002（excel）.zip,.zip,archive,3134111,2.989,ignored_raw_asset,原始购买数据或配套材料，不提交到 Git
china-real-estate-statistical-yearbook-1999-2025,SRC_CN_PURCHASED_RE_YEARBOOK,中国房地产统计年鉴 1999-2025,data/raw/purchased/china-real-estate-statistical-yearbook-1999-2025/EXCEL/中国房地产统计年鉴2003（excel）.zip,中国房地产统计年鉴2003（excel）.zip,.zip,archive,2405716,2.294,ignored_raw_asset,原始购买数据或配套材料，不提交到 Git
